STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,SAN FRANCISCO INTL AP,2023-01-01,0.56,53,58,49
USW00023234,SAN FRANCISCO INTL AP,2023-01-02,0.08,51,54,47
USW00023234,SAN FRANCISCO INTL AP,2023-01-03,0.00,49,55,46
USW00023234,SAN FRANCISCO INTL AP,2023-01-04,0.73,56,60,52
USW00023234,SAN FRANCISCO INTL AP,2023-01-05,0.32,54,58,50
USW00023234,SAN FRANCISCO INTL AP,2023-01-06,0.03,53,57,50
USW00023234,SAN FRANCISCO INTL AP,2023-01-07,0.37,55,60,52
USW00023234,SAN FRANCISCO INTL AP,2023-01-08,0.39,56,62,53
USW00023234,SAN FRANCISCO INTL AP,2023-01-09,0.92,57,60,54
USW00023234,SAN FRANCISCO INTL AP,2023-01-10,0.48,53,56,49
USW00023234,SAN FRANCISCO INTL AP,2023-01-11,0.55,54,58,51
USW00023234,SAN FRANCISCO INTL AP,2023-01-12,0.02,57,61,54
USW00023234,SAN FRANCISCO INTL AP,2023-01-13,0.55,58,61,56
USW00023234,SAN FRANCISCO INTL AP,2023-01-14,1.06,58,61,56
USW00023234,SAN FRANCISCO INTL AP,2023-01-15,0.30,53,57,50
USW00023234,SAN FRANCISCO INTL AP,2023-01-16,0.47,52,55,49
USW00023234,SAN FRANCISCO INTL AP,2023-01-17,0.01,50,54,46
USW00023234,SAN FRANCISCO INTL AP,2023-01-18,0.00,48,54,43
USW00023234,SAN FRANCISCO INTL AP,2023-01-19,0.04,49,55,44
USW00023234,SAN FRANCISCO INTL AP,2023-01-20,0.00,48,54,43
USW00023234,SAN FRANCISCO INTL AP,2023-01-21,0.00,49,58,42
USW00023234,SAN FRANCISCO INTL AP,2023-01-22,0.00,50,60,42
USW00023234,SAN FRANCISCO INTL AP,2023-01-23,0.00,51,62,43
USW00023234,SAN FRANCISCO INTL AP,2023-01-24,0.00,52,65,42
USW00023234,SAN FRANCISCO INTL AP,2023-01-25,0.00,52,64,43
USW00023234,SAN FRANCISCO INTL AP,2023-01-26,0.00,54,63,47
USW00023234,SAN FRANCISCO INTL AP,2023-01-27,0.00,55,62,49
USW00023234,SAN FRANCISCO INTL AP,2023-01-28,0.03,51,55,47
USW00023234,SAN FRANCISCO INTL AP,2023-01-29,0.12,49,52,47
USW00023234,SAN FRANCISCO INTL AP,2023-01-30,0.02,48,53,44
USW00023234,SAN FRANCISCO INTL AP,2023-01-31,0.00,49,55,44
USW00023234,SAN FRANCISCO INTL AP,2023-02-01,0.00,50,58,43
USW00023234,SAN FRANCISCO INTL AP,2023-02-02,0.02,51,56,47
USW00023234,SAN FRANCISCO INTL AP,2023-02-03,0.09,53,57,50
USW00023234,SAN FRANCISCO INTL AP,2023-02-04,0.61,54,58,51
USW00023234,SAN FRANCISCO INTL AP,2023-02-05,0.16,53,57,50
USW00023234,SAN FRANCISCO INTL AP,2023-02-06,0.01,52,58,47
USW00023234,SAN FRANCISCO INTL AP,2023-02-07,0.00,54,64,45
USW00023234,SAN FRANCISCO INTL AP,2023-02-08,0.00,54,67,43
USW00023234,SAN FRANCISCO INTL AP,2023-02-09,0.00,54,67,43
USW00023234,SAN FRANCISCO INTL AP,2023-02-10,0.00,55,66,45
USW00023234,SAN FRANCISCO INTL AP,2023-02-11,0.06,53,58,49
USW00023234,SAN FRANCISCO INTL AP,2023-02-12,0.00,53,60,46
USW00023234,SAN FRANCISCO INTL AP,2023-02-13,0.00,52,60,45
USW00023234,SAN FRANCISCO INTL AP,2023-02-14,0.00,51,59,44
USW00023234,SAN FRANCISCO INTL AP,2023-02-15,0.00,49,58,41
USW00023234,SAN FRANCISCO INTL AP,2023-02-16,0.00,50,60,41
USW00023234,SAN FRANCISCO INTL AP,2023-02-17,0.00,50,60,41
USW00023234,SAN FRANCISCO INTL AP,2023-02-18,0.00,52,62,43
USW00023234,SAN FRANCISCO INTL AP,2023-02-19,0.00,54,63,46
USW00023234,SAN FRANCISCO INTL AP,2023-02-20,0.00,55,64,48
USW00023234,SAN FRANCISCO INTL AP,2023-02-21,0.00,52,59,48
USW00023234,SAN FRANCISCO INTL AP,2023-02-22,0.00,49,54,44
USW00023234,SAN FRANCISCO INTL AP,2023-02-23,0.02,46,50,42
USW00023234,SAN FRANCISCO INTL AP,2023-02-24,0.18,46,52,40
USW00023234,SAN FRANCISCO INTL AP,2023-02-25,0.01,45,51,40
USW00023234,SAN FRANCISCO INTL AP,2023-02-26,0.17,46,51,42
USW00023234,SAN FRANCISCO INTL AP,2023-02-27,0.22,46,52,42
USW00023234,SAN FRANCISCO INTL AP,2023-02-28,0.16,46,50,42
USW00023234,SAN FRANCISCO INTL AP,2023-03-01,0.04,46,52,41
USW00023234,SAN FRANCISCO INTL AP,2023-03-02,0.00,47,56,39
USW00023234,SAN FRANCISCO INTL AP,2023-03-03,0.00,48,56,41
USW00023234,SAN FRANCISCO INTL AP,2023-03-04,0.15,48,53,44
USW00023234,SAN FRANCISCO INTL AP,2023-03-05,0.25,49,53,45
USW00023234,SAN FRANCISCO INTL AP,2023-03-06,0.13,49,54,45
USW00023234,SAN FRANCISCO INTL AP,2023-03-07,0.00,48,54,43
USW00023234,SAN FRANCISCO INTL AP,2023-03-08,0.00,48,56,41
USW00023234,SAN FRANCISCO INTL AP,2023-03-09,0.17,51,57,46
USW00023234,SAN FRANCISCO INTL AP,2023-03-10,0.85,55,59,51
USW00023234,SAN FRANCISCO INTL AP,2023-03-11,0.09,56,61,53
USW00023234,SAN FRANCISCO INTL AP,2023-03-12,0.12,54,58,51
USW00023234,SAN FRANCISCO INTL AP,2023-03-13,0.15,57,60,54
USW00023234,SAN FRANCISCO INTL AP,2023-03-14,1.17,55,58,52
USW00023234,SAN FRANCISCO INTL AP,2023-03-15,0.03,53,57,50
USW00023234,SAN FRANCISCO INTL AP,2023-03-16,0.00,51,58,45
USW00023234,SAN FRANCISCO INTL AP,2023-03-17,0.00,51,59,43
USW00023234,SAN FRANCISCO INTL AP,2023-03-18,0.04,54,58,50
USW00023234,SAN FRANCISCO INTL AP,2023-03-19,0.39,55,59,52
USW00023234,SAN FRANCISCO INTL AP,2023-03-20,0.19,55,60,51
USW00023234,SAN FRANCISCO INTL AP,2023-03-21,1.53,53,57,49
USW00023234,SAN FRANCISCO INTL AP,2023-03-22,0.04,51,56,47
USW00023234,SAN FRANCISCO INTL AP,2023-03-23,0.00,49,56,43
USW00023234,SAN FRANCISCO INTL AP,2023-03-24,0.00,50,57,43
USW00023234,SAN FRANCISCO INTL AP,2023-03-25,0.00,51,58,44
USW00023234,SAN FRANCISCO INTL AP,2023-03-26,0.00,52,60,45
USW00023234,SAN FRANCISCO INTL AP,2023-03-27,0.02,51,57,46
USW00023234,SAN FRANCISCO INTL AP,2023-03-28,0.85,50,54,46
USW00023234,SAN FRANCISCO INTL AP,2023-03-29,0.22,49,53,45
USW00023234,SAN FRANCISCO INTL AP,2023-03-30,0.01,49,54,45
USW00023234,SAN FRANCISCO INTL AP,2023-03-31,0.00,50,56,45
USW00023234,SAN FRANCISCO INTL AP,2023-04-01,0.00,51,57,45
USW00023234,SAN FRANCISCO INTL AP,2023-04-02,0.01,52,58,46
USW00023234,SAN FRANCISCO INTL AP,2023-04-03,0.00,50,56,45
USW00023234,SAN FRANCISCO INTL AP,2023-04-04,0.00,48,56,41
USW00023234,SAN FRANCISCO INTL AP,2023-04-05,0.00,48,56,41
USW00023234,SAN FRANCISCO INTL AP,2023-04-06,0.00,52,58,46
USW00023234,SAN FRANCISCO INTL AP,2023-04-07,0.00,53,60,47
USW00023234,SAN FRANCISCO INTL AP,2023-04-08,0.00,54,61,48
USW00023234,SAN FRANCISCO INTL AP,2023-04-09,0.00,56,66,47
USW00023234,SAN FRANCISCO INTL AP,2023-04-10,0.00,57,69,46
USW00023234,SAN FRANCISCO INTL AP,2023-04-11,0.00,56,66,47
USW00023234,SAN FRANCISCO INTL AP,2023-04-12,0.00,54,62,47
USW00023234,SAN FRANCISCO INTL AP,2023-04-13,0.00,52,60,44
USW00023234,SAN FRANCISCO INTL AP,2023-04-14,0.00,52,61,44
USW00023234,SAN FRANCISCO INTL AP,2023-04-15,0.02,53,59,48
USW00023234,SAN FRANCISCO INTL AP,2023-04-16,0.04,54,60,49
USW00023234,SAN FRANCISCO INTL AP,2023-04-17,0.00,51,57,46
USW00023234,SAN FRANCISCO INTL AP,2023-04-18,0.00,50,56,44
USW00023234,SAN FRANCISCO INTL AP,2023-04-19,0.00,50,57,43
USW00023234,SAN FRANCISCO INTL AP,2023-04-20,0.00,52,60,45
USW00023234,SAN FRANCISCO INTL AP,2023-04-21,0.00,54,65,44
USW00023234,SAN FRANCISCO INTL AP,2023-04-22,0.00,59,69,50
USW00023234,SAN FRANCISCO INTL AP,2023-04-23,0.00,60,70,51
USW00023234,SAN FRANCISCO INTL AP,2023-04-24,0.00,58,66,51
USW00023234,SAN FRANCISCO INTL AP,2023-04-25,0.00,57,66,49
USW00023234,SAN FRANCISCO INTL AP,2023-04-26,0.00,59,71,48
USW00023234,SAN FRANCISCO INTL AP,2023-04-27,0.00,61,73,50
USW00023234,SAN FRANCISCO INTL AP,2023-04-28,0.00,61,71,52
USW00023234,SAN FRANCISCO INTL AP,2023-04-29,0.00,58,64,52
USW00023234,SAN FRANCISCO INTL AP,2023-04-30,0.00,56,63,50
USW00023234,SAN FRANCISCO INTL AP,2023-05-01,0.00,55,62,49
USW00023234,SAN FRANCISCO INTL AP,2023-05-02,0.07,54,60,49
USW00023234,SAN FRANCISCO INTL AP,2023-05-03,0.01,54,60,48
USW00023234,SAN FRANCISCO INTL AP,2023-05-04,0.05,53,58,49
USW00023234,SAN FRANCISCO INTL AP,2023-05-05,0.00,53,58,49
USW00023234,SAN FRANCISCO INTL AP,2023-05-06,0.00,53,60,47
